2025-12-10T05:24:51+00:00
Running ./build/matrix_benchmarks
Run on (11 X 48 MHz CPU s)
Load Average: 0.39, 0.38, 0.41
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Addition_MatrixClass/10",12397270,41.9341,41.9325,ns,,2.38478e+09,,,
"Addition_MatrixClass/100",76435,8782.13,8781.39,ns,,1.13877e+09,,,
"Addition_MatrixClass/200",10204,63618.3,63521.8,ns,,6.29705e+08,,,
"Addition_MatrixClass/400",2410,286231,286207,ns,,5.59035e+08,,,
"Addition_Armadillo/10",35542241,19.8675,19.8665,ns,,5.03359e+09,,,
"Addition_Armadillo/100",318060,2204.58,2204.5,ns,,4.53617e+09,,,
"Addition_Armadillo/200",80794,9070.8,9067.9,ns,,4.41116e+09,,,
"Addition_Armadillo/400",19988,35089.9,35089.4,ns,,4.55978e+09,,,
"Multiplication_MatrixClass/10",2248207,312.713,312.697,ns,,3.19798e+08,,,
"Multiplication_MatrixClass/100",4871,144631,144629,ns,,6.91424e+07,,,
"Multiplication_MatrixClass/200",532,1.32521e+06,1.32516e+06,ns,,3.0185e+07,,,
"Multiplication_MatrixClass/400",67,1.08641e+07,1.08635e+07,ns,,1.47282e+07,,,
"Multiplication_Armadillo/10",4087022,163.761,163.733,ns,,6.10751e+08,,,
"Multiplication_Armadillo/100",37244,19062.7,19062,ns,,5.24603e+08,,,
"Multiplication_Armadillo/200",1806,405716,404931,ns,,9.87823e+07,,,
"Multiplication_Armadillo/400",312,2.42424e+06,2.39687e+06,ns,,6.67537e+07,,,
"InitializationZeros_MatrixClass/10",5607512,113.825,113.815,ns,,8.78616e+08,,,
"InitializationZeros_MatrixClass/100",629728,1070.7,1070.62,ns,,9.34035e+09,,,
"InitializationZeros_MatrixClass/200",133360,3932.69,3932.58,ns,,1.01714e+10,,,
"InitializationZeros_MatrixClass/400",56383,16567.6,16565.5,ns,,9.65863e+09,,,
"InitializationZeros_Armadillo/10",10000000,50.6699,50.6681,ns,,1.97363e+09,,,
"InitializationZeros_Armadillo/100",1275696,682.3,682.279,ns,,1.46568e+10,,,
"InitializationZeros_Armadillo/200",273079,2057.54,2057.38,ns,,1.94422e+10,,,
"InitializationZeros_Armadillo/400",68620,8201.01,8200.47,ns,,1.95111e+10,,,
"InitializationRandom_MatrixClass/10",458245,1527.08,1526.9,ns,,6.5492e+07,,,
"InitializationRandom_MatrixClass/100",28060,24739.9,24739.1,ns,,4.04219e+08,,,
"InitializationRandom_MatrixClass/200",7439,99272.1,99264.5,ns,,4.02964e+08,,,
"InitializationRandom_MatrixClass/400",1879,370510,370452,ns,,4.31905e+08,,,
"InitializationRandom_Armadillo/10",5164970,135.771,135.753,ns,,7.36633e+08,,,
"InitializationRandom_Armadillo/100",54834,12890,12889.3,ns,,7.7584e+08,,,
"InitializationRandom_Armadillo/200",13400,51991.4,51989.5,ns,,7.69386e+08,,,
"InitializationRandom_Armadillo/400",3418,210335,210318,ns,,7.60754e+08,,,
"Transpose_MatrixClass/10",4120179,173.624,173.617,ns,,5.75979e+08,,,
"Transpose_MatrixClass/100",39448,18710.9,18708.6,ns,,5.34514e+08,,,
"Transpose_MatrixClass/200",10256,68350.9,68348.2,ns,,5.85238e+08,,,
"Transpose_MatrixClass/400",2589,265096,265086,ns,,6.03578e+08,,,
"Transpose_Armadillo/10",23813550,27.5398,27.5386,ns,,3.63127e+09,,,
"Transpose_Armadillo/100",371889,1885.72,1885.51,ns,,5.3036e+09,,,
"Transpose_Armadillo/200",75675,9266.5,9266.31,ns,,4.31671e+09,,,
"Transpose_Armadillo/400",7768,91934.9,91931.7,ns,,1.74042e+09,,,
"Accessor_MatrixClass/10",7405412,97.3459,97.2082,ns,,1.02872e+09,,,
"Accessor_MatrixClass/100",77469,9095.83,9095.47,ns,,1.09945e+09,,,
"Accessor_MatrixClass/200",18508,33866.7,33863.7,ns,,1.18121e+09,,,
"Accessor_MatrixClass/400",5265,138841,138830,ns,,1.15249e+09,,,
"Accessor_Armadillo/10",14447565,46.8716,46.8576,ns,,2.13412e+09,,,
"Accessor_Armadillo/100",112340,6328.78,6324.01,ns,,1.58128e+09,,,
"Accessor_Armadillo/200",25698,27983.3,27979.2,ns,,1.42963e+09,,,
"Accessor_Armadillo/400",5228,114918,114906,ns,,1.39244e+09,,,
"EigSym_MatrixClass/10",77390,9122.86,9122.22,ns,,1.09622e+07,,,
"EigSym_MatrixClass/100",103,6.85823e+06,6.85806e+06,ns,,1.45814e+06,,,
"EigSym_MatrixClass/200",14,5.2669e+07,5.26667e+07,ns,,759494,,,
"EigSym_MatrixClass/400",2,4.13551e+08,4.1353e+08,ns,,386913,,,
"EigSym_Armadillo/10",113212,6047.15,6046.79,ns,,1.65377e+07,,,
"EigSym_Armadillo/100",247,3.29387e+06,3.29332e+06,ns,,3.03645e+06,,,
"EigSym_Armadillo/200",51,1.32726e+07,1.32693e+07,ns,,3.01447e+06,,,
"EigSym_Armadillo/400",14,9.84529e+07,9.80526e+07,ns,,1.63178e+06,,,
